0,1,377.24,100.98,6.55,13.83,1,-1,-1,-1
1,1,376.72,102.09,7.23,13.41,1,-1,-1,-1
2,1,376.20,103.20,7.90,12.99,1,-1,-1,-1
3,1,376.06,103.13,8.35,12.76,1,-1,-1,-1
4,1,375.99,102.86,8.76,12.55,1,-1,-1,-1
5,1,375.94,102.55,9.16,12.35,1,-1,-1,-1
6,1,375.88,102.24,9.56,12.15,1,-1,-1,-1
7,1,375.82,101.93,9.96,11.95,1,-1,-1,-1
8,1,374.50,102.30,12.35,10.82,1,-1,-1,-1
9,1,373.32,103.11,15.33,9.63,1,-1,-1,-1
10,1,372.20,104.08,18.37,8.20,1,-1,-1,-1
11,1,371.81,104.43,21.66,7.67,1,-1,-1,-1
0,2,383.00,51.68,14.28,8.04,1,-1,-1,-1
1,2,381.13,52.40,14.97,8.00,1,-1,-1,-1
2,2,381.02,52.44,15.67,8.94,1,-1,-1,-1
3,2,381.05,52.43,16.28,9.36,1,-1,-1,-1
4,2,381.07,52.42,16.49,9.91,1,-1,-1,-1
5,2,380.10,52.42,17.81,10.86,1,-1,-1,-1
6,2,379.71,50.85,19.51,13.50,1,-1,-1,-1
7,2,379.59,50.30,19.93,14.88,1,-1,-1,-1
8,2,378.88,48.75,20.79,17.98,1,-1,-1,-1
9,2,378.23,47.33,21.81,21.83,1,-1,-1,-1
10,2,377.33,44.35,22.83,26.19,1,-1,-1,-1
11,2,376.15,41.55,23.57,30.47,1,-1,-1,-1
12,2,375.72,38.95,23.42,35.02,1,-1,-1,-1
13,2,375.59,35.91,22.20,39.14,1,-1,-1,-1
14,2,375.56,38.47,21.72,36.99,1,-1,-1,-1
14,3,365.34,103.17,39.97,15.73,1,-1,-1,-1
19,4,383.04,199.23,14.74,10.01,1,-1,-1,-1
20,4,383.07,199.23,18.40,12.23,1,-1,-1,-1
21,5,78.90,176.37,8.80,17.76,1,-1,-1,-1
22,5,79.19,176.18,9.77,20.56,1,-1,-1,-1
22,6,335.62,35.03,7.98,10.67,1,-1,-1,-1
23,6,335.36,32.62,8.22,13.02,1,-1,-1,-1
24,6,335.67,31.70,8.67,13.78,1,-1,-1,-1
25,6,336.13,31.16,9.19,14.14,1,-1,-1,-1
26,6,336.62,30.72,9.70,14.39,1,-1,-1,-1
27,6,337.48,29.87,10.23,14.62,1,-1,-1,-1
28,6,337.79,29.67,10.75,14.85,1,-1,-1,-1
29,6,337.91,29.68,11.28,15.09,1,-1,-1,-1
30,6,337.94,29.77,11.80,15.33,1,-1,-1,-1
31,6,337.96,29.89,12.33,15.57,1,-1,-1,-1
32,6,337.96,30.00,12.85,15.82,1,-1,-1,-1
33,6,337.97,30.11,13.37,16.08,1,-1,-1,-1
34,6,337.97,30.22,13.89,16.34,1,-1,-1,-1
35,6,337.31,31.57,14.73,15.13,1,-1,-1,-1
